Node	RCore
P04598	0
P01088	0
P06777	0
P04599	0
P01087	0
P01086	0
P06779	0
P01085	0
P06778	0
P01084	0
P01083	0
P01082	0
P01081	0
P01080	0
P06780	0
P06782	0
P06781	0
P06784	0
P06300	0
P06783	0
P01079	0
P06786	0
P01078	0
P06785	0
P01077	0
P06304	0
P06788	0
P01076	0
P06787	0
P06303	0
P01075	0
P06306	0
P01074	0
P06789	0
P06305	0
P01073	0
P01072	0
P06307	0
P01071	0
P01070	0
P06309	0
P06791	0
P06790	0
P06793	0
P06792	0
P06795	0
P06311	0
P01069	0
P06794	0
P06310	0
P01068	0
P06797	0
P06313	0
P01067	0
P06796	0
P06312	0
P03245	0
P06755	0
P06754	0
P04578	0
P03247	0
P06757	0
P04579	0
P03248	0
P06756	0
P06759	0
P03249	0
P06758	0
P04580	0
P04581	0
P03250	0
P06760	0
P04582	0
P04583	0
P06762	0
P04584	0
P06761	0
P04585	0
P06764	0
P04586	0
P06763	0
P04587	0
P01099	0
P06766	0
P01098	0
P04588	0
P06765	0
P01097	0
P04589	0
P06768	0
P01096	0
P01095	0
P06769	0
P01094	0
P01093	0
P01092	0
P01091	0
P01090	0
P04590	0
P04591	0
P04592	0
P06771	0
P04593	0
P04594	0
P06773	0
P04595	0
P06772	0
P04596	0
P04597	0
P01089	0
P06774	0
P06337	0
P06338	0
P06340	0
P06342	0
P06341	0
P06344	0
P06346	0
P06348	0
P06347	0
P06349	0
P07202	0
P07204	0
P07203	0
P06799	0
P06315	0
P06798	0
P06314	0
P06317	0
P06316	0
P06318	0
P06320	0
P06322	0
P06321	0
P06324	0
P06323	0
P06326	0
P06328	0
P06327	0
P06329	0
P06331	0
P06330	0
P06333	0
P06332	0
P06335	0
P01000	0
P00152	0
P01484	0
P01483	0
P00153	0
P00150	0
P01482	0
P00151	0
P01481	0
P01480	0
P00149	0
P00147	0
P01479	0
P01478	0
P00148	0
P00145	0
P01477	0
P01476	0
P00146	0
P01475	0
P00143	0
P00144	0
P01474	0
P01473	0
P00141	0
P06700	0
P00142	0
P01472	0
P01471	0
P06702	0
P00140	0
P01470	0
P06701	0
P06704	0
P06703	0
P06706	0
P06705	0
P06708	0
P06707	0
P06709	0
P00139	0
P01469	0
P01468	0
P00136	0
P02799	0
P02798	0
P00137	0
P00134	0
P02797	0
P01466	0
P01465	0
P02796	0
P00135	0
P04530	0
P00132	0
P01464	0
P00133	0
P01463	0
P02794	0
P04531	0
P01022	0
P00174	0
P00175	0
P01021	0
P01020	0
P00172	0
P00173	0
P00170	0
P00171	0
P01019	0
P01018	0
P00169	0
P01017	0
P01016	0
P01015	0
P00167	0
P01014	0
P00168	0
P01013	0
P00165	0
P00166	0
P01012	0
P01011	0
P00163	0
P01494	0
P01010	0
P00164	0
P01492	0
P00162	0
P01491	0
P01490	0
P00160	0
P01009	0
P01008	0
P01007	0
P00158	0
P01006	0
P01489	0
P01005	0
P00159	0
P01004	0
P00156	0
P00157	0
P01003	0
P01486	0
P01002	0
P00154	0
P00155	0
P01485	0
P01001	0
P01044	0
P06733	0
P00196	0
P04555	0
P01043	0
P06732	0
P00197	0
P01042	0
P04556	0
P00194	0
P03225	0
P06735	0
P04557	0
P01041	0
P00195	0
P06734	0
P04558	0
P01040	0
P00192	0
P03227	0
P06737	0
P04559	0
P00193	0
P06736	0
P06739	0
P00190	0
P03229	0
P06738	0
P00191	0
P01039	0
P04560	0
P01038	0
P00189	0
P01037	0
P06740	0
P04561	0
P01036	0
P01035	0
P04563	0
P00187	0
P06742	0
P01034	0
P00188	0
P04564	0
P06741	0
P04565	0
P01033	0
P00185	0
P06744	0
P04566	0
P00186	0
P06743	0
P04567	0
P00183	0
P03236	0
P01031	0
P06746	0
P06745	0
P04568	0
P00184	0
P01030	0
P00181	0
P04569	0
P00182	0
P06747	0
P00180	0
P06749	0
P01029	0
P04570	0
P01027	0
P04571	0
P04572	0
P01026	0
P00178	0
P06751	0
P00179	0
P01025	0
P04573	0
P06750	0
P03242	0
P01024	0
P00176	0
P04574	0
P06753	0
P03244	0
P00177	0
P01023	0
P06752	0
P04575	0
P04532	0
P01066	0
P06711	0
P04533	0
P01065	0
P06710	0
P04534	0
P01064	0
P06713	0
P04535	0
P01063	0
P06712	0
P04536	0
P01062	0
P03205	0
P06715	0
P03206	0
P04537	0
P01061	0
G06690	0
P01060	0
P04538	0
P03207	0
P06717	0
P04539	0
P03208	0
P06716	0
P03209	0
P06719	0
P01059	0
P04540	0
P01058	0
P04541	0
P01057	0
P06720	0
P03210	0
P01056	0
P03211	0
P04542	0
P03212	0
P01055	0
P04543	0
P06722	0
G06684	0
P03213	0
P04544	0
P01054	0
P06721	0
G06683	0
P06724	0
P01053	0
P04545	0
G06686	0
P03214	0
P04546	0
P03215	0
P01052	0
G06685	0
P06723	0
P03216	0
P04547	0
P01051	0
G06680	0
P06726	0
P01050	0
P04548	0
P03217	0
P06725	0
P06728	0
P03218	0
G06682	0
P06727	0
G06681	0
P06729	0
G06688	0
G06687	0
G06689	0
P01049	0
P04550	0
P01048	0
P01047	0
P04551	0
P04552	0
P01046	0
P06731	0
P00198	0
P01045	0
P04553	0
P00199	0
P06730	0
G06673	0
G06672	0
G06675	0
G06671	0
G06670	0
G06677	0
G06676	0
G06679	0
G06678	0
P07190	0
P07192	0
P02729	0
P00549	0
P02728	0
P07194	0
P02727	0
P07193	0
P00547	0
P02726	0
P00548	0
P02725	0
P00545	0
P02724	0
P07198	0
P02723	0
P00546	0
P07197	0
P02722	0
P00543	0
P02721	0
P00544	0
P07199	0
P00541	0
P00542	0
P00540	0
G06669	0
G06666	0
G06668	0
G06667	0
P00538	0
P00539	0
P00536	0
P00537	0
P00534	0
P00535	0
P00532	0
P00533	0
P00530	0
P00531	0
P00570	0
P00571	0
P07170	0
P01419	0
P02749	0
P01418	0
P07171	0
P01417	0
P02748	0
P00569	0
P07174	0
P02747	0
P02746	0
P00567	0
P01415	0
P07176	0
P00568	0
P02745	0
P01414	0
P07175	0
P00565	0
P01413	0
P02744	0
P07178	0
P02743	0
P00566	0
P01412	0
P07177	0
P02742	0
P01411	0
P00563	0
P02741	0
P00564	0
P01410	0
P00561	0
P02740	0
P00562	0
P00560	0
P07181	0
P01409	0
P07180	0
P02739	0
P01408	0
P02738	0
P01407	0
P07182	0
P00558	0
P02737	0
P01406	0
P00559	0
P01405	0
P02736	0
P07184	0
P00556	0
P07187	0
P01404	0
P02735	0
P00557	0
P02734	0
P01403	0
P01402	0
P00554	0
P02733	0
P07189	0
P02732	0
P00555	0
P01401	0
P07188	0
P00552	0
P02731	0
P00553	0
P02730	0
P00550	0
P00551	0
P01440	0
P02771	0
P02770	0
P00593	0
P00590	0
P00591	0
P00109	0
P01439	0
P00107	0
P00108	0
P01438	0
P02769	0
P00105	0
P00589	0
P02768	0
P01437	0
P00106	0
P01436	0
P02767	0
P01435	0
P00587	0
P02766	0
P01434	0
P00104	0
P00588	0
P02765	0
P00585	0
P01433	0
P00101	0
P00586	0
P01432	0
P02763	0
P00102	0
P02762	0
P01431	0
P00583	0
P00584	0
P02761	0
P01430	0
P00100	0
P00581	0
P02760	0
P00582	0
P00580	0
P01429	0
P01428	0
P02759	0
P02758	0
P01427	0
P01426	0
P02757	0
P00578	0
P01425	0
P02756	0
P02755	0
P00576	0
P01424	0
P00577	0
P01423	0
P02754	0
P02753	0
P00574	0
P01422	0
P02752	0
P00575	0
P01421	0
P00572	0
P02751	0
P01420	0
P02750	0
P00573	0
P00130	0
P02793	0
P00131	0
P01461	0
P02792	0
P01460	0
P02791	0
P00129	0
P01459	0
P00127	0
P01458	0
P00128	0
P01457	0
P02788	0
P00125	0
P01456	0
P02787	0
P00126	0
P01455	0
P02786	0
P00123	0
P02785	0
P00124	0
P01454	0
P02784	0
P01453	0
P00121	0
P02783	0
P01452	0
P00122	0
P01451	0
P02782	0
P02781	0
P01450	0
P00120	0
P02780	0
P00118	0
P00119	0
P01449	0
P01448	0
P02779	0
P02778	0
P00117	0
P01447	0
P01446	0
P00114	0
P02777	0
P00598	0
P02776	0
P00115	0
P00599	0
P01445	0
P01444	0
P02775	0
P00112	0
P00596	0
P02774	0
P01443	0
P00113	0
P00597	0
P01442	0
P02773	0
P00110	0
P00594	0
P02772	0
P01441	0
P00111	0
P00595	0
P07106	0
P06259	0
P07109	0
P07108	0
P00949	0
P00947	0
P00948	0
P00945	0
P00946	0
P06261	0
P00943	0
P00944	0
P06260	0
P00941	0
P07110	0
P06263	0
P00942	0
P06262	0
P06265	0
P00940	0
P06264	0
P07111	0
P06267	0
P07114	0
P06266	0
P07113	0
P07116	0
P06269	0
P06268	0
P07118	0
P07117	0
P07119	0
P00938	0
P00939	0
P00936	0
P00937	0
P00934	0
P06270	0
P00935	0
P00932	0
P06272	0
P00933	0
P06271	0
P07121	0
P00930	0
P06274	0
P00931	0
P06273	0
P07123	0
P06275	0
P06278	0
P07125	0
P06277	0
P07127	0
P06279	0
P07126	0
P06238	0
P06237	0
P06239	0
P00969	0
P00967	0
P00968	0
P00965	0
P00966	0
P06241	0
P00964	0
P00961	0
P06243	0
P00962	0
P06242	0
P06245	0
P00960	0
P06244	0
P06247	0
P06246	0
P06249	0
P06248	0
P00958	0
P00959	0
P00956	0
P00957	0
P06250	0
P00954	0
P00955	0
P00952	0
P06252	0
P00953	0
P06251	0
P00950	0
P06254	0
P00951	0
P07100	0
P07103	0
P06256	0
P06255	0
P06258	0
P07105	0
P00509	0
P00507	0
P00508	0
P00505	0
P00989	0
P07150	0
P00506	0
P00987	0
P07152	0
P00504	0
P07151	0
P00985	0
P00501	0
P07154	0
P00502	0
P00986	0
P07153	0
P00983	0
P07156	0
P00984	0
P00500	0
P07155	0
P00981	0
P07158	0
P00982	0
P07157	0
P00980	0
P07159	0
P00978	0
P07161	0
P07160	0
P00979	0
P00976	0
P07163	0
P00977	0
P07162	0
P00974	0
P07165	0
P00975	0
P07164	0
P00972	0
P07167	0
P00973	0
P07166	0
P00970	0
P00971	0
P07168	0
P07129	0
P07128	0
P00529	0
P00527	0
P00528	0
P06280	0
P00525	0
P06283	0
P00526	0
P06282	0
P00523	0
P06285	0
P00524	0
P06284	0
P07131	0
P00521	0
P06287	0
P07134	0
P00522	0
P07133	0
P06286	0
P07136	0
P06289	0
P00520	0
P06288	0
P07135	0
P07138	0
P07137	0
P07139	0
P00518	0
P06290	0
P00519	0
P00516	0
P00517	0
P06291	0
P00998	0
P00514	0
P07141	0
P06294	0
P00515	0
P00999	0
P07140	0
P06293	0
P00512	0
P00996	0
P07143	0
P06296	0
P00513	0
P00997	0
P07142	0
P06295	0
P00994	0
P00510	0
P07145	0
P06298	0
P00511	0
P00995	0
P06297	0
P00992	0
P00993	0
P06299	0
P07146	0
P00990	0
P07149	0
P07148	0
G01541	0
G01540	0
G01546	0
G01545	0
G01544	0
G01543	0
G01548	0
G01547	0
P01199	0
P01198	0
P01197	0
P01196	0
P01194	0
P01193	0
P01192	0
P01190	0
G01531	0
G01530	0
G01535	0
G01533	0
G01532	0
P01189	0
P01188	0
G01529	0
G07295	0
G07296	0
G01511	0
G07288	0
G07289	0
G07286	0
G07287	0
G07284	0
G07285	0
G01501	0
G01500	0
G01504	0
G01503	0
G07293	0
G07294	0
G07291	0
G07292	0
G07290	0
G07279	0
G07277	0
G07278	0
G07275	0
G07276	0
G07273	0
G07274	0
G07282	0
G07283	0
G07280	0
G07281	0
G07268	0
G07269	0
G07266	0
G07267	0
G07264	0
G07265	0
G07262	0
G07263	0
G07271	0
G07272	0
G07270	0
G07261	0
P01121	0
P05963	0
P00273	0
P06810	0
P04631	0
P00274	0
P01120	0
P05962	0
P04632	0
P04633	0
P05965	0
P06812	0
P00271	0
P04634	0
P05964	0
P00272	0
P06811	0
P05967	0
P06814	0
P04635	0
P04636	0
P05966	0
P00270	0
P06813	0
P05969	0
P04637	0
P05968	0
P04638	0
P06815	0
P04639	0
P06818	0
P06817	0
P06819	0
P01119	0
P01118	0
P01117	0
P01116	0
P00268	0
P00269	0
P01115	0
P01114	0
P05970	0
P00266	0
P01113	0
P00267	0
P05972	0
P01112	0
P04640	0
P00264	0
P04641	0
P05971	0
P00265	0
P01111	0
P01110	0
P05974	0
P04642	0
P06821	0
P04643	0
P06820	0
P05973	0
P00263	0
P00260	0
P04644	0
P05976	0
P06823	0
P00261	0
P06822	0
P05975	0
P04645	0
P05978	0
P04646	0
P06825	0
P05977	0
P04647	0
P06824	0
P04648	0
P06827	0
P04649	0
P05979	0
P06826	0
P06829	0
P06828	0
P01109	0
P01108	0
P00259	0
P01107	0
P01106	0
P00257	0
P01105	0
P01104	0
P00258	0
P01103	0
P00255	0
P05981	0
P00256	0
P04650	0
P05980	0
P01102	0
P04651	0
P00253	0
P06830	0
P01101	0
P00254	0
P05982	0
P01100	0
P04652	0
P01143	0
P05941	0
P00295	0
P00296	0
P01142	0
P04610	0
P05940	0
P04611	0
P05943	0
P00293	0
P04612	0
P01140	0
P05942	0
P00294	0
P00291	0
P04613	0
P05945	0
P04614	0
P00292	0
P05944	0
P05947	0
P04615	0
P05946	0
P04616	0
P00290	0
P04617	0
P05949	0
P05948	0
P04618	0
P04619	0
P01138	0
P01137	0
P01136	0
P00288	0
P01135	0
P00289	0
P01134	0
P05950	0
P00286	0
P01133	0
P00287	0
P01132	0
P00284	0
P04620	0
P05952	0
P01131	0
P05951	0
P00285	0
P05954	0
P04622	0
P01130	0
P00282	0
P06801	0
P04623	0
P00283	0
P06800	0
P05953	0
P05956	0
P00280	0
P04624	0
P06803	0
P04625	0
P06802	0
P05955	0
P05958	0
P06805	0
P04626	0
P05957	0
P04627	0
P06804	0
P06807	0
P04628	0
P05959	0
P04629	0
P06806	0
P06809	0
P06808	0
P01129	0
P01128	0
P00279	0
P01127	0
P01126	0
P01125	0
P00277	0
P00278	0
P01124	0
P05961	0
P01123	0
P00275	0
P05960	0
P01122	0
P04630	0
P00276	0
P01165	0
P06854	0
P01164	0
P06853	0
P06856	0
P01163	0
P01162	0
P06855	0
P01161	0
P06858	0
P01160	0
P06859	0
P01159	0
P06861	0
P01158	0
P01157	0
P06860	0
P01156	0
P01155	0
P01154	0
P01153	0
P01152	0
P01151	0
P01150	0
P01149	0
P01148	0
P01147	0
P00299	0
P01146	0
P00297	0
P01145	0
P00298	0
P01144	0
P04653	0
P01187	0
P05985	0
P06832	0
P05984	0
P06831	0
P04654	0
P01185	0
P05987	0
P06834	0
P05986	0
P04656	0
P06833	0
P04657	0
P06836	0
P05989	0
P01182	0
P04658	0
P05988	0
P06835	0
P01181	0
P04659	0
P06838	0
P06837	0
P06839	0
P05990	0
P05992	0
P04660	0
P05991	0
P04661	0
P01179	0
P05994	0
P01178	0
P06841	0
P04662	0
P01177	0
P05993	0
P04663	0
P05996	0
P01176	0
P04664	0
P06843	0
P04665	0
P01175	0
P05995	0
P06842	0
P01174	0
P05998	0
P04666	0
P06845	0
P04667	0
P01173	0
P05997	0
P06844	0
P04668	0
P06847	0
P01172	0
P01171	0
P05999	0
P04669	0
P06846	0
P06849	0
P01170	0
P06848	0
P04670	0
P06850	0
P01169	0
P01168	0
P01167	0
P06852	0
P06851	0
P00670	0
P02849	0
P02848	0
P02847	0
P00668	0
P02846	0
P00669	0
P02845	0
P00666	0
P00667	0
P00664	0
P02842	0
P00665	0
P00662	0
P02841	0
P02840	0
P00663	0
P00660	0
P00661	0
P00659	0
P02837	0
P00657	0
P00658	0
P02835	0
P00655	0
P02833	0
P00656	0
P00653	0
P00654	0
P00651	0
P02830	0
P00652	0
P00650	0
P02870	0
P00691	0
P00692	0
P00690	0
P00208	0
P00209	0
P00206	0
P02869	0
P00207	0
P02868	0
P00204	0
P00688	0
P00205	0
P00689	0
P02866	0
P00202	0
P00686	0
P00203	0
P02864	0
P00687	0
P00200	0
P00201	0
P00685	0
P00682	0
P00683	0
P00680	0
P00681	0
P02859	0
P00679	0
P02858	0
P02857	0
P00677	0
P02856	0
P00678	0
P00675	0
P02854	0
P02853	0
P00676	0
P02852	0
P00673	0
P00674	0
P02851	0
P00671	0
P00672	0
P02892	0
P02891	0
P00230	0
P02890	0
P05921	0
P05920	0
P05923	0
P05922	0
P05925	0
P05924	0
P05927	0
P05926	0
P05929	0
P05928	0
P00228	0
P00229	0
P00226	0
P02889	0
P00227	0
P02888	0
P02887	0
P00224	0
P00225	0
P02886	0
P02885	0
P00222	0
P00223	0
P02884	0
P00220	0
P02883	0
P00221	0
P02882	0
P05930	0
P02881	0
P05932	0
P04600	0
P05931	0
P04601	0
P04602	0
P05934	0
P05933	0
P04603	0
P04604	0
P04605	0
P05935	0
P05938	0
P04606	0
P05937	0
P04607	0
P04608	0
P05939	0
P04609	0
P00219	0
P00217	0
P00218	0
P00215	0
P00699	0
P00216	0
P00697	0
P00213	0
P00214	0
P00698	0
P00211	0
P02874	0
P00212	0
P02873	0
P00693	0
P02872	0
P00210	0
P02871	0
P00251	0
P00252	0
P00250	0
P00248	0
P00249	0
P00246	0
P00247	0
P00244	0
P00245	0
P00242	0
P00243	0
P00240	0
P00241	0
P05912	0
P05911	0
P05914	0
P05913	0
P05916	0
P05915	0
P05918	0
P05917	0
P05919	0
P00239	0
P00237	0
P00238	0
P02899	0
P02898	0
P00235	0
P00236	0
P02897	0
P02896	0
P00233	0
P02895	0
P00234	0
P02894	0
P00231	0
P02893	0
P07228	0
P07227	0
P07231	0
P07230	0
P07233	0
P07232	0
P07235	0
P07237	0
P07236	0
G01497	0
G01499	0
P07206	0
P07207	0
P07209	0
P00608	0
P00609	0
P00606	0
P00607	0
P00604	0
P00605	0
P00602	0
P00603	0
P00600	0
P00601	0
P07211	0
P07210	0
P07213	0
P07212	0
P07215	0
P07214	0
P07217	0
P07216	0
P07218	0
P07220	0
